Id,Title,ShortDescription,AuthorName,Topic,PublishedDate
1,Addiction_title,Addiction_sd,"Emyle Britee, MS",Addiction,7/4/2019 17:47
2,Allergy_title,Allergy_sd,"Maitilde Shead, RN",Allergy,6/1/2020 14:57
3,Autism_title,Autism_sd,"Putnem Morphet, PhD",Autism,8/9/2020 5:35
4,Buckeye Stories_title,Buckeye Stories_sd,"Lawton Basden, RN",Buckeye Stories,5/2/2020 16:49
5,Burn and Wound_title,Burn and Wound_sd,"Clarisse Wintour, PhD",Burn and Wound,11/3/2021 20:56
6,Cancer_title,Cancer_sd,"Dorry Djorevic, LISW",Cancer,8/28/2021 20:06
7,Cognitive and Memory Disorders_title,Cognitive and Memory Disorders_sd,"Putnem Morphet, PhD",Cognitive and Memory Disorders,2/22/2020 13:20
8,Dermatology_title,Dermatology_sd,"Clarisse Wintour, PhD",Dermatology,5/26/2021 0:51
9,Diabetes_title,Diabetes_sd,"Clarisse Wintour, PhD",Diabetes,5/30/2020 10:25
10,Digestive Diseases_title,Digestive Diseases_sd,"Analise Gargett, PharmD",Digestive Diseases,8/31/2021 7:13
11,Ear Nose and Throat_title,Ear Nose and Throat_sd,"Trudi Aujouanet, MD",Ear Nose and Throat,1/9/2020 11:42
12,Emergency Medicine_title,Emergency Medicine_sd,"Talia Harower, D(ABMM)",Emergency Medicine,11/30/2020 17:25
13,Endocrinology_title,Endocrinology_sd,"Analise Gargett, PharmD",Endocrinology,11/20/2019 11:04
14,Eye Care_title,Eye Care_sd,"Maitilde Shead, RN",Eye Care,7/1/2021 0:50
15,Family_title,Family_sd,"Maitilde Shead, RN",Family,4/8/2020 17:50
16,Fitness_title,Fitness_sd,"Clarisse Wintour, PhD",Fitness,9/8/2020 5:15
17,Geriatrics_title,Geriatrics_sd,"Analise Gargett, PharmD",Geriatrics,5/2/2022 20:35
18,Health and Wellness_title,Health and Wellness_sd,"Analise Gargett, PharmD",Health and Wellness,5/9/2020 8:45
19,Health and Wellness_title_1,Health and Wellness_sd_1,"Analise Gargett, PharmD",Health and Wellness,9/1/2021 2:03
20,Healthy Eating_title,Healthy Eating_sd,"Lawton Basden, RN",Healthy Eating,8/5/2021 19:24
21,Hearing Loss_title,Hearing Loss_sd,"Emyle Britee, MS",Hearing Loss,11/15/2021 2:02
22,Heart and Vascular Health_title,Heart and Vascular Health_sd,"Lawton Basden, RN",Heart and Vascular Health,1/14/2020 19:08
23,Infectious Diseases_title,Infectious Diseases_sd,"Putnem Morphet, PhD",Infectious Diseases,3/27/2022 17:31
24,Integrative Medicine_title,Integrative Medicine_sd,"Emyle Britee, MS",Integrative Medicine,8/6/2019 4:53
25,Lung and Pulmonary_title,Lung and Pulmonary_sd,"Clarisse Wintour, PhD",Lung and Pulmonary,5/30/2022 8:56
26,Mental and Behavioral Health_title,Mental and Behavioral Health_sd,"Putnem Morphet, PhD",Mental and Behavioral Health,12/7/2021 14:27
27,MyChart_title,MyChart_sd,"Analise Gargett, PharmD",MyChart,10/16/2019 12:19
28,Neurological Institute_title,Neurological Institute_sd,"Analise Gargett, PharmD",Neurological Institute,3/8/2021 8:40
29,Nursing_title,Nursing_sd,"Maitilde Shead, RN",Nursing,9/5/2019 6:29
30,Orthopedics_title,Orthopedics_sd,"Putnem Morphet, PhD",Orthopedics,9/20/2019 6:16
31,Physical Medicine and Rehabilitation_title,Physical Medicine and Rehabilitation_sd,"Trudi Aujouanet, MD",Physical Medicine and Rehabilitation,7/10/2021 8:29
32,Plastic Surgery_title,Plastic Surgery_sd,"Putnem Morphet, PhD",Plastic Surgery,5/26/2022 1:56
33,Primary Care_title,Primary Care_sd,"Putnem Morphet, PhD",Primary Care,3/2/2020 14:35
34,Research_title,Research_sd,"Maitilde Shead, RN",Research,10/24/2019 11:56
35,Rheumatology_title,Rheumatology_sd,"Dorry Djorevic, LISW",Rheumatology,1/19/2022 8:22
36,Sleep_title,Sleep_sd,"Talia Harower, D(ABMM)",Sleep,10/22/2019 12:14
37,Sports Medicine_title,Sports Medicine_sd,"Trudi Aujouanet, MD",Sports Medicine,1/27/2022 20:40
38,Stress Management_title,Stress Management_sd,"Putnem Morphet, PhD",Stress Management,11/16/2021 17:34
39,Tech and Innovation_title,Tech and Innovation_sd,"Clarisse Wintour, PhD",Tech and Innovation,4/27/2021 16:40
40,Transplant_title,Transplant_sd,"Clarisse Wintour, PhD",Transplant,3/22/2021 16:34
41,Urology_title,Urology_sd,"Talia Harower, D(ABMM)",Urology,9/14/2019 18:26
42,Weight Management_title,Weight Management_sd,"Lawton Basden, RN",Weight Management,2/5/2022 23:52
43,Women and Infants_title,Women and Infants_sd,"Lawton Basden, RN",Women and Infants,4/26/2020 4:55
44,Womens Health_title,Womens Health_sd,"Talia Harower, D(ABMM)",Womens Health,1/15/2022 23:27
